"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"Indiana","1 wk ahead","Bin","percent",7.4,7.5,8.9e-08
"Indiana","1 wk ahead","Bin","percent",7.5,7.6,8.9e-08
"Indiana","1 wk ahead","Bin","percent",7.6,7.7,8.9e-08
"Indiana","1 wk ahead","Bin","percent",7.7,7.8,8.9e-08
"Indiana","1 wk ahead","Bin","percent",7.8,7.9,8.9e-08
"Indiana","1 wk ahead","Bin","percent",7.9,8,8.9e-08
"Indiana","1 wk ahead","Bin","percent",8,8.1,8.9e-08
"Indiana","1 wk ahead","Bin","percent",8.1,8.2,8.9e-08
"Indiana","1 wk ahead","Bin","percent",8.2,8.3,8.9e-08
"Indiana","1 wk ahead","Bin","percent",8.3,8.4,8.9e-08
"Indiana","1 wk ahead","Bin","percent",8.4,8.5,8.9e-08
"Indiana","1 wk ahead","Bin","percent",8.5,8.6,8.9e-08
"Indiana","1 wk ahead","Bin","percent",8.6,8.7,8.9e-08
"Indiana","1 wk ahead","Bin","percent",8.7,8.8,8.9e-08
"Indiana","1 wk ahead","Bin","percent",8.8,8.9,8.9e-08
"Indiana","1 wk ahead","Bin","percent",8.9,9,8.9e-08
"Indiana","1 wk ahead","Bin","percent",9,9.1,8.9e-08
"Indiana","1 wk ahead","Bin","percent",9.1,9.2,8.9e-08
"Indiana","1 wk ahead","Bin","percent",9.2,9.3,8.9e-08
"Indiana","1 wk ahead","Bin","percent",9.3,9.4,8.9e-08
"Indiana","1 wk ahead","Bin","percent",9.4,9.5,8.9e-08
"Indiana","1 wk ahead","Bin","percent",9.5,9.6,8.9e-08
"Indiana","1 wk ahead","Bin","percent",9.6,9.7,8.9e-08
"Indiana","1 wk ahead","Bin","percent",9.7,9.8,8.9e-08
"Indiana","1 wk ahead","Bin","percent",9.8,9.9,8.9e-08
"Indiana","1 wk ahead","Bin","percent",9.9,10,8.9e-08
"Indiana","1 wk ahead","Bin","percent",10,10.1,8.9e-08
"Indiana","1 wk ahead","Bin","percent",10.1,10.2,8.9e-08
"Indiana","1 wk ahead","Bin","percent",10.2,10.3,8.9e-08
"Indiana","1 wk ahead","Bin","percent",10.3,10.4,8.9e-08
"Indiana","1 wk ahead","Bin","percent",10.4,10.5,8.9e-08
"Indiana","1 wk ahead","Bin","percent",10.5,10.6,8.9e-08
"Indiana","1 wk ahead","Bin","percent",10.6,10.7,8.9e-08
"Indiana","1 wk ahead","Bin","percent",10.7,10.8,8.9e-08
"Indiana","1 wk ahead","Bin","percent",10.8,10.9,8.9e-08
"Indiana","1 wk ahead","Bin","percent",10.9,11,8.9e-08
"Indiana","1 wk ahead","Bin","percent",11,11.1,8.9e-08
"Indiana","1 wk ahead","Bin","percent",11.1,11.2,8.9e-08
"Indiana","1 wk ahead","Bin","percent",11.2,11.3,8.9e-08
"Indiana","1 wk ahead","Bin","percent",11.3,11.4,8.9e-08
"Indiana","1 wk ahead","Bin","percent",11.4,11.5,8.9e-08
"Indiana","1 wk ahead","Bin","percent",11.5,11.6,8.9e-08
"Indiana","1 wk ahead","Bin","percent",11.6,11.7,8.9e-08
"Indiana","1 wk ahead","Bin","percent",11.7,11.8,8.9e-08
"Indiana","1 wk ahead","Bin","percent",11.8,11.9,8.9e-08
"Indiana","1 wk ahead","Bin","percent",11.9,12,8.9e-08
"Indiana","1 wk ahead","Bin","percent",12,12.1,8.9e-08
"Indiana","1 wk ahead","Bin","percent",12.1,12.2,8.9e-08
"Indiana","1 wk ahead","Bin","percent",12.2,12.3,8.9e-08
"Indiana","1 wk ahead","Bin","percent",12.3,12.4,8.9e-08
"Indiana","1 wk ahead","Bin","percent",12.4,12.5,8.9e-08
"Indiana","1 wk ahead","Bin","percent",12.5,12.6,8.9e-08
"Indiana","1 wk ahead","Bin","percent",12.6,12.7,8.9e-08
"Indiana","1 wk ahead","Bin","percent",12.7,12.8,8.9e-08
"Indiana","1 wk ahead","Bin","percent",12.8,12.9,8.9e-08
"Indiana","1 wk ahead","Bin","percent",12.9,13,8.9e-08
"Indiana","1 wk ahead","Bin","percent",13,100,8.9e-08
"Indiana","2 wk ahead","Point","percent",NA,NA,2.2
"Indiana","2 wk ahead","Bin","percent",0,0.1,8.8e-08
"Indiana","2 wk ahead","Bin","percent",0.1,0.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",0.2,0.3,8.8e-08
"Indiana","2 wk ahead","Bin","percent",0.3,0.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",0.4,0.5,8.8e-08
"Indiana","2 wk ahead","Bin","percent",0.5,0.6,8.8e-08
"Indiana","2 wk ahead","Bin","percent",0.6,0.7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",0.7,0.8,0.11
"Indiana","2 wk ahead","Bin","percent",0.8,0.9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",0.9,1,0.051
"Indiana","2 wk ahead","Bin","percent",1,1.1,0.045
"Indiana","2 wk ahead","Bin","percent",1.1,1.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",1.2,1.3,8.8e-08
"Indiana","2 wk ahead","Bin","percent",1.3,1.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",1.4,1.5,0.054
"Indiana","2 wk ahead","Bin","percent",1.5,1.6,0.053
"Indiana","2 wk ahead","Bin","percent",1.6,1.7,0.051
"Indiana","2 wk ahead","Bin","percent",1.7,1.8,0.055
"Indiana","2 wk ahead","Bin","percent",1.8,1.9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",1.9,2,0.049
"Indiana","2 wk ahead","Bin","percent",2,2.1,0.097
"Indiana","2 wk ahead","Bin","percent",2.1,2.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",2.2,2.3,0.048
"Indiana","2 wk ahead","Bin","percent",2.3,2.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",2.4,2.5,0.047
"Indiana","2 wk ahead","Bin","percent",2.5,2.6,0.05
"Indiana","2 wk ahead","Bin","percent",2.6,2.7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",2.7,2.8,8.8e-08
"Indiana","2 wk ahead","Bin","percent",2.8,2.9,0.098
"Indiana","2 wk ahead","Bin","percent",2.9,3,8.8e-08
"Indiana","2 wk ahead","Bin","percent",3,3.1,0.049
"Indiana","2 wk ahead","Bin","percent",3.1,3.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",3.2,3.3,0.043
"Indiana","2 wk ahead","Bin","percent",3.3,3.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",3.4,3.5,8.8e-08
"Indiana","2 wk ahead","Bin","percent",3.5,3.6,8.8e-08
"Indiana","2 wk ahead","Bin","percent",3.6,3.7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",3.7,3.8,0.052
"Indiana","2 wk ahead","Bin","percent",3.8,3.9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",3.9,4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",4,4.1,8.8e-08
"Indiana","2 wk ahead","Bin","percent",4.1,4.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",4.2,4.3,8.8e-08
"Indiana","2 wk ahead","Bin","percent",4.3,4.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",4.4,4.5,8.8e-08
"Indiana","2 wk ahead","Bin","percent",4.5,4.6,8.8e-08
"Indiana","2 wk ahead","Bin","percent",4.6,4.7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",4.7,4.8,8.8e-08
"Indiana","2 wk ahead","Bin","percent",4.8,4.9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",4.9,5,8.8e-08
"Indiana","2 wk ahead","Bin","percent",5,5.1,8.8e-08
"Indiana","2 wk ahead","Bin","percent",5.1,5.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",5.2,5.3,8.8e-08
"Indiana","2 wk ahead","Bin","percent",5.3,5.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",5.4,5.5,8.8e-08
"Indiana","2 wk ahead","Bin","percent",5.5,5.6,8.8e-08
"Indiana","2 wk ahead","Bin","percent",5.6,5.7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",5.7,5.8,8.8e-08
"Indiana","2 wk ahead","Bin","percent",5.8,5.9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",5.9,6,0.047
"Indiana","2 wk ahead","Bin","percent",6,6.1,8.8e-08
"Indiana","2 wk ahead","Bin","percent",6.1,6.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",6.2,6.3,8.8e-08
"Indiana","2 wk ahead","Bin","percent",6.3,6.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",6.4,6.5,8.8e-08
"Indiana","2 wk ahead","Bin","percent",6.5,6.6,8.8e-08
"Indiana","2 wk ahead","Bin","percent",6.6,6.7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",6.7,6.8,8.8e-08
"Indiana","2 wk ahead","Bin","percent",6.8,6.9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",6.9,7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",7,7.1,8.8e-08
"Indiana","2 wk ahead","Bin","percent",7.1,7.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",7.2,7.3,8.8e-08
"Indiana","2 wk ahead","Bin","percent",7.3,7.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",7.4,7.5,8.8e-08
"Indiana","2 wk ahead","Bin","percent",7.5,7.6,8.8e-08
"Indiana","2 wk ahead","Bin","percent",7.6,7.7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",7.7,7.8,8.8e-08
"Indiana","2 wk ahead","Bin","percent",7.8,7.9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",7.9,8,8.8e-08
"Indiana","2 wk ahead","Bin","percent",8,8.1,8.8e-08
"Indiana","2 wk ahead","Bin","percent",8.1,8.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",8.2,8.3,8.8e-08
"Indiana","2 wk ahead","Bin","percent",8.3,8.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",8.4,8.5,8.8e-08
"Indiana","2 wk ahead","Bin","percent",8.5,8.6,8.8e-08
"Indiana","2 wk ahead","Bin","percent",8.6,8.7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",8.7,8.8,8.8e-08
"Indiana","2 wk ahead","Bin","percent",8.8,8.9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",8.9,9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",9,9.1,8.8e-08
"Indiana","2 wk ahead","Bin","percent",9.1,9.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",9.2,9.3,8.8e-08
"Indiana","2 wk ahead","Bin","percent",9.3,9.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",9.4,9.5,8.8e-08
"Indiana","2 wk ahead","Bin","percent",9.5,9.6,8.8e-08
"Indiana","2 wk ahead","Bin","percent",9.6,9.7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",9.7,9.8,8.8e-08
"Indiana","2 wk ahead","Bin","percent",9.8,9.9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",9.9,10,8.8e-08
"Indiana","2 wk ahead","Bin","percent",10,10.1,8.8e-08
"Indiana","2 wk ahead","Bin","percent",10.1,10.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",10.2,10.3,8.8e-08
"Indiana","2 wk ahead","Bin","percent",10.3,10.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",10.4,10.5,8.8e-08
"Indiana","2 wk ahead","Bin","percent",10.5,10.6,8.8e-08
"Indiana","2 wk ahead","Bin","percent",10.6,10.7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",10.7,10.8,8.8e-08
"Indiana","2 wk ahead","Bin","percent",10.8,10.9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",10.9,11,8.8e-08
"Indiana","2 wk ahead","Bin","percent",11,11.1,8.8e-08
"Indiana","2 wk ahead","Bin","percent",11.1,11.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",11.2,11.3,8.8e-08
"Indiana","2 wk ahead","Bin","percent",11.3,11.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",11.4,11.5,8.8e-08
"Indiana","2 wk ahead","Bin","percent",11.5,11.6,8.8e-08
"Indiana","2 wk ahead","Bin","percent",11.6,11.7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",11.7,11.8,8.8e-08
"Indiana","2 wk ahead","Bin","percent",11.8,11.9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",11.9,12,8.8e-08
"Indiana","2 wk ahead","Bin","percent",12,12.1,8.8e-08
"Indiana","2 wk ahead","Bin","percent",12.1,12.2,8.8e-08
"Indiana","2 wk ahead","Bin","percent",12.2,12.3,8.8e-08
"Indiana","2 wk ahead","Bin","percent",12.3,12.4,8.8e-08
"Indiana","2 wk ahead","Bin","percent",12.4,12.5,8.8e-08
"Indiana","2 wk ahead","Bin","percent",12.5,12.6,8.8e-08
"Indiana","2 wk ahead","Bin","percent",12.6,12.7,8.8e-08
"Indiana","2 wk ahead","Bin","percent",12.7,12.8,8.8e-08
"Indiana","2 wk ahead","Bin","percent",12.8,12.9,8.8e-08
"Indiana","2 wk ahead","Bin","percent",12.9,13,8.8e-08
"Indiana","2 wk ahead","Bin","percent",13,100,8.8e-08
"Indiana","3 wk ahead","Point","percent",NA,NA,2.1
"Indiana","3 wk ahead","Bin","percent",0,0.1,8.8e-08
"Indiana","3 wk ahead","Bin","percent",0.1,0.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",0.2,0.3,8.8e-08
"Indiana","3 wk ahead","Bin","percent",0.3,0.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",0.4,0.5,8.8e-08
"Indiana","3 wk ahead","Bin","percent",0.5,0.6,8.8e-08
"Indiana","3 wk ahead","Bin","percent",0.6,0.7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",0.7,0.8,0.12
"Indiana","3 wk ahead","Bin","percent",0.8,0.9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",0.9,1,0.052
"Indiana","3 wk ahead","Bin","percent",1,1.1,0.046
"Indiana","3 wk ahead","Bin","percent",1.1,1.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",1.2,1.3,8.8e-08
"Indiana","3 wk ahead","Bin","percent",1.3,1.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",1.4,1.5,0.057
"Indiana","3 wk ahead","Bin","percent",1.5,1.6,0.056
"Indiana","3 wk ahead","Bin","percent",1.6,1.7,0.049
"Indiana","3 wk ahead","Bin","percent",1.7,1.8,0.055
"Indiana","3 wk ahead","Bin","percent",1.8,1.9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",1.9,2,0.051
"Indiana","3 wk ahead","Bin","percent",2,2.1,0.093
"Indiana","3 wk ahead","Bin","percent",2.1,2.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",2.2,2.3,0.048
"Indiana","3 wk ahead","Bin","percent",2.3,2.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",2.4,2.5,0.044
"Indiana","3 wk ahead","Bin","percent",2.5,2.6,0.051
"Indiana","3 wk ahead","Bin","percent",2.6,2.7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",2.7,2.8,8.8e-08
"Indiana","3 wk ahead","Bin","percent",2.8,2.9,0.095
"Indiana","3 wk ahead","Bin","percent",2.9,3,8.8e-08
"Indiana","3 wk ahead","Bin","percent",3,3.1,0.047
"Indiana","3 wk ahead","Bin","percent",3.1,3.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",3.2,3.3,0.041
"Indiana","3 wk ahead","Bin","percent",3.3,3.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",3.4,3.5,8.8e-08
"Indiana","3 wk ahead","Bin","percent",3.5,3.6,8.8e-08
"Indiana","3 wk ahead","Bin","percent",3.6,3.7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",3.7,3.8,0.05
"Indiana","3 wk ahead","Bin","percent",3.8,3.9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",3.9,4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",4,4.1,8.8e-08
"Indiana","3 wk ahead","Bin","percent",4.1,4.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",4.2,4.3,8.8e-08
"Indiana","3 wk ahead","Bin","percent",4.3,4.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",4.4,4.5,8.8e-08
"Indiana","3 wk ahead","Bin","percent",4.5,4.6,8.8e-08
"Indiana","3 wk ahead","Bin","percent",4.6,4.7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",4.7,4.8,8.8e-08
"Indiana","3 wk ahead","Bin","percent",4.8,4.9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",4.9,5,8.8e-08
"Indiana","3 wk ahead","Bin","percent",5,5.1,8.8e-08
"Indiana","3 wk ahead","Bin","percent",5.1,5.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",5.2,5.3,8.8e-08
"Indiana","3 wk ahead","Bin","percent",5.3,5.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",5.4,5.5,8.8e-08
"Indiana","3 wk ahead","Bin","percent",5.5,5.6,8.8e-08
"Indiana","3 wk ahead","Bin","percent",5.6,5.7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",5.7,5.8,8.8e-08
"Indiana","3 wk ahead","Bin","percent",5.8,5.9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",5.9,6,0.044
"Indiana","3 wk ahead","Bin","percent",6,6.1,8.8e-08
"Indiana","3 wk ahead","Bin","percent",6.1,6.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",6.2,6.3,8.8e-08
"Indiana","3 wk ahead","Bin","percent",6.3,6.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",6.4,6.5,8.8e-08
"Indiana","3 wk ahead","Bin","percent",6.5,6.6,8.8e-08
"Indiana","3 wk ahead","Bin","percent",6.6,6.7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",6.7,6.8,8.8e-08
"Indiana","3 wk ahead","Bin","percent",6.8,6.9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",6.9,7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",7,7.1,8.8e-08
"Indiana","3 wk ahead","Bin","percent",7.1,7.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",7.2,7.3,8.8e-08
"Indiana","3 wk ahead","Bin","percent",7.3,7.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",7.4,7.5,8.8e-08
"Indiana","3 wk ahead","Bin","percent",7.5,7.6,8.8e-08
"Indiana","3 wk ahead","Bin","percent",7.6,7.7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",7.7,7.8,8.8e-08
"Indiana","3 wk ahead","Bin","percent",7.8,7.9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",7.9,8,8.8e-08
"Indiana","3 wk ahead","Bin","percent",8,8.1,8.8e-08
"Indiana","3 wk ahead","Bin","percent",8.1,8.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",8.2,8.3,8.8e-08
"Indiana","3 wk ahead","Bin","percent",8.3,8.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",8.4,8.5,8.8e-08
"Indiana","3 wk ahead","Bin","percent",8.5,8.6,8.8e-08
"Indiana","3 wk ahead","Bin","percent",8.6,8.7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",8.7,8.8,8.8e-08
"Indiana","3 wk ahead","Bin","percent",8.8,8.9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",8.9,9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",9,9.1,8.8e-08
"Indiana","3 wk ahead","Bin","percent",9.1,9.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",9.2,9.3,8.8e-08
"Indiana","3 wk ahead","Bin","percent",9.3,9.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",9.4,9.5,8.8e-08
"Indiana","3 wk ahead","Bin","percent",9.5,9.6,8.8e-08
"Indiana","3 wk ahead","Bin","percent",9.6,9.7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",9.7,9.8,8.8e-08
"Indiana","3 wk ahead","Bin","percent",9.8,9.9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",9.9,10,8.8e-08
"Indiana","3 wk ahead","Bin","percent",10,10.1,8.8e-08
"Indiana","3 wk ahead","Bin","percent",10.1,10.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",10.2,10.3,8.8e-08
"Indiana","3 wk ahead","Bin","percent",10.3,10.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",10.4,10.5,8.8e-08
"Indiana","3 wk ahead","Bin","percent",10.5,10.6,8.8e-08
"Indiana","3 wk ahead","Bin","percent",10.6,10.7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",10.7,10.8,8.8e-08
"Indiana","3 wk ahead","Bin","percent",10.8,10.9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",10.9,11,8.8e-08
"Indiana","3 wk ahead","Bin","percent",11,11.1,8.8e-08
"Indiana","3 wk ahead","Bin","percent",11.1,11.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",11.2,11.3,8.8e-08
"Indiana","3 wk ahead","Bin","percent",11.3,11.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",11.4,11.5,8.8e-08
"Indiana","3 wk ahead","Bin","percent",11.5,11.6,8.8e-08
"Indiana","3 wk ahead","Bin","percent",11.6,11.7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",11.7,11.8,8.8e-08
"Indiana","3 wk ahead","Bin","percent",11.8,11.9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",11.9,12,8.8e-08
"Indiana","3 wk ahead","Bin","percent",12,12.1,8.8e-08
"Indiana","3 wk ahead","Bin","percent",12.1,12.2,8.8e-08
"Indiana","3 wk ahead","Bin","percent",12.2,12.3,8.8e-08
"Indiana","3 wk ahead","Bin","percent",12.3,12.4,8.8e-08
"Indiana","3 wk ahead","Bin","percent",12.4,12.5,8.8e-08
"Indiana","3 wk ahead","Bin","percent",12.5,12.6,8.8e-08
"Indiana","3 wk ahead","Bin","percent",12.6,12.7,8.8e-08
"Indiana","3 wk ahead","Bin","percent",12.7,12.8,8.8e-08
"Indiana","3 wk ahead","Bin","percent",12.8,12.9,8.8e-08
"Indiana","3 wk ahead","Bin","percent",12.9,13,8.8e-08
"Indiana","3 wk ahead","Bin","percent",13,100,8.8e-08
