"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"Alabama","1 wk ahead","Point","percent",NA,NA,2.6
"Alabama","1 wk ahead","Bin","percent",0,0.1,0.0013
"Alabama","1 wk ahead","Bin","percent",0.1,0.2,0.0017
"Alabama","1 wk ahead","Bin","percent",0.2,0.3,0.0021
"Alabama","1 wk ahead","Bin","percent",0.3,0.4,0.0027
"Alabama","1 wk ahead","Bin","percent",0.4,0.5,0.0034
"Alabama","1 wk ahead","Bin","percent",0.5,0.6,0.0042
"Alabama","1 wk ahead","Bin","percent",0.6,0.7,0.0052
"Alabama","1 wk ahead","Bin","percent",0.7,0.8,0.0063
"Alabama","1 wk ahead","Bin","percent",0.8,0.9,0.0076
"Alabama","1 wk ahead","Bin","percent",0.9,1,0.009
"Alabama","1 wk ahead","Bin","percent",1,1.1,0.011
"Alabama","1 wk ahead","Bin","percent",1.1,1.2,0.012
"Alabama","1 wk ahead","Bin","percent",1.2,1.3,0.014
"Alabama","1 wk ahead","Bin","percent",1.3,1.4,0.017
"Alabama","1 wk ahead","Bin","percent",1.4,1.5,0.019
"Alabama","1 wk ahead","Bin","percent",1.5,1.6,0.021
"Alabama","1 wk ahead","Bin","percent",1.6,1.7,0.024
"Alabama","1 wk ahead","Bin","percent",1.7,1.8,0.026
"Alabama","1 wk ahead","Bin","percent",1.8,1.9,0.028
"Alabama","1 wk ahead","Bin","percent",1.9,2,0.031
"Alabama","1 wk ahead","Bin","percent",2,2.1,0.033
"Alabama","1 wk ahead","Bin","percent",2.1,2.2,0.035
"Alabama","1 wk ahead","Bin","percent",2.2,2.3,0.036
"Alabama","1 wk ahead","Bin","percent",2.3,2.4,0.038
"Alabama","1 wk ahead","Bin","percent",2.4,2.5,0.039
"Alabama","1 wk ahead","Bin","percent",2.5,2.6,0.04
"Alabama","1 wk ahead","Bin","percent",2.6,2.7,0.04
"Alabama","1 wk ahead","Bin","percent",2.7,2.8,0.04
"Alabama","1 wk ahead","Bin","percent",2.8,2.9,0.039
"Alabama","1 wk ahead","Bin","percent",2.9,3,0.039
"Alabama","1 wk ahead","Bin","percent",3,3.1,0.037
"Alabama","1 wk ahead","Bin","percent",3.1,3.2,0.036
"Alabama","1 wk ahead","Bin","percent",3.2,3.3,0.034
"Alabama","1 wk ahead","Bin","percent",3.3,3.4,0.032
"Alabama","1 wk ahead","Bin","percent",3.4,3.5,0.03
"Alabama","1 wk ahead","Bin","percent",3.5,3.6,0.027
"Alabama","1 wk ahead","Bin","percent",3.6,3.7,0.025
"Alabama","1 wk ahead","Bin","percent",3.7,3.8,0.023
"Alabama","1 wk ahead","Bin","percent",3.8,3.9,0.02
"Alabama","1 wk ahead","Bin","percent",3.9,4,0.018
"Alabama","1 wk ahead","Bin","percent",4,4.1,0.016
"Alabama","1 wk ahead","Bin","percent",4.1,4.2,0.014
"Alabama","1 wk ahead","Bin","percent",4.2,4.3,0.012
"Alabama","1 wk ahead","Bin","percent",4.3,4.4,0.01
"Alabama","1 wk ahead","Bin","percent",4.4,4.5,0.0084
"Alabama","1 wk ahead","Bin","percent",4.5,4.6,0.007
"Alabama","1 wk ahead","Bin","percent",4.6,4.7,0.0058
"Alabama","1 wk ahead","Bin","percent",4.7,4.8,0.0047
"Alabama","1 wk ahead","Bin","percent",4.8,4.9,0.0038
"Alabama","1 wk ahead","Bin","percent",4.9,5,0.0031
"Alabama","1 wk ahead","Bin","percent",5,5.1,0.0024
"Alabama","1 wk ahead","Bin","percent",5.1,5.2,0.0019
"Alabama","1 wk ahead","Bin","percent",5.2,5.3,0.0015
"Alabama","1 wk ahead","Bin","percent",5.3,5.4,0.0012
"Alabama","1 wk ahead","Bin","percent",5.4,5.5,0.00088
"Alabama","1 wk ahead","Bin","percent",5.5,5.6,0.00067
"Alabama","1 wk ahead","Bin","percent",5.6,5.7,5e-04
"Alabama","1 wk ahead","Bin","percent",5.7,5.8,0.00037
"Alabama","1 wk ahead","Bin","percent",5.8,5.9,0.00027
"Alabama","1 wk ahead","Bin","percent",5.9,6,2e-04
"Alabama","1 wk ahead","Bin","percent",6,6.1,0.00014
"Alabama","1 wk ahead","Bin","percent",6.1,6.2,1e-04
"Alabama","1 wk ahead","Bin","percent",6.2,6.3,7.1e-05
"Alabama","1 wk ahead","Bin","percent",6.3,6.4,4.9e-05
"Alabama","1 wk ahead","Bin","percent",6.4,6.5,3.4e-05
"Alabama","1 wk ahead","Bin","percent",6.5,6.6,2.3e-05
"Alabama","1 wk ahead","Bin","percent",6.6,6.7,1.6e-05
"Alabama","1 wk ahead","Bin","percent",6.7,6.8,1.1e-05
"Alabama","1 wk ahead","Bin","percent",6.8,6.9,7e-06
"Alabama","1 wk ahead","Bin","percent",6.9,7,4.6e-06
"Alabama","1 wk ahead","Bin","percent",7,7.1,3e-06
"Alabama","1 wk ahead","Bin","percent",7.1,7.2,1.9e-06
"Alabama","1 wk ahead","Bin","percent",7.2,7.3,1.2e-06
"Alabama","1 wk ahead","Bin","percent",7.3,7.4,7.8e-07
"Alabama","1 wk ahead","Bin","percent",7.4,7.5,4.9e-07
"Alabama","1 wk ahead","Bin","percent",7.5,7.6,3e-07
"Alabama","1 wk ahead","Bin","percent",7.6,7.7,1.9e-07
"Alabama","1 wk ahead","Bin","percent",7.7,7.8,1.1e-07
"Alabama","1 wk ahead","Bin","percent",7.8,7.9,6.8e-08
"Alabama","1 wk ahead","Bin","percent",7.9,8,4e-08
"Alabama","1 wk ahead","Bin","percent",8,8.1,2.4e-08
"Alabama","1 wk ahead","Bin","percent",8.1,8.2,1.4e-08
"Alabama","1 wk ahead","Bin","percent",8.2,8.3,8e-09
"Alabama","1 wk ahead","Bin","percent",8.3,8.4,4.6e-09
"Alabama","1 wk ahead","Bin","percent",8.4,8.5,2.6e-09
"Alabama","1 wk ahead","Bin","percent",8.5,8.6,1.5e-09
"Alabama","1 wk ahead","Bin","percent",8.6,8.7,8.1e-10
"Alabama","1 wk ahead","Bin","percent",8.7,8.8,4.4e-10
"Alabama","1 wk ahead","Bin","percent",8.8,8.9,2.4e-10
"Alabama","1 wk ahead","Bin","percent",8.9,9,1.3e-10
"Alabama","1 wk ahead","Bin","percent",9,9.1,7e-11
"Alabama","1 wk ahead","Bin","percent",9.1,9.2,3.7e-11
