"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"Illinois","Season onset","Point","week",NA,NA,51
"Illinois","Season onset","Bin","week","40","41",0.00037
"Illinois","Season onset","Bin","week","41","42",0.00037
"Illinois","Season onset","Bin","week","42","43",0.00037
"Illinois","Season onset","Bin","week","43","44",0.00037
"Illinois","Season onset","Bin","week","44","45",0.00037
"Illinois","Season onset","Bin","week","45","46",0.00037
"Illinois","Season onset","Bin","week","46","47",0.00037
"Illinois","Season onset","Bin","week","47","48",0.00037
"Illinois","Season onset","Bin","week","48","49",0.2
"Illinois","Season onset","Bin","week","49","50",0.13
"Illinois","Season onset","Bin","week","50","51",0.00037
"Illinois","Season onset","Bin","week","51","52",0.18
"Illinois","Season onset","Bin","week","52","53",0.37
"Illinois","Season onset","Bin","week","1","2",0.00037
"Illinois","Season onset","Bin","week","2","3",0.00037
"Illinois","Season onset","Bin","week","3","4",0.00037
"Illinois","Season onset","Bin","week","4","5",0.00037
"Illinois","Season onset","Bin","week","5","6",0.00037
"Illinois","Season onset","Bin","week","6","7",0.1
"Illinois","Season onset","Bin","week","7","8",0.00037
"Illinois","Season onset","Bin","week","8","9",0.00037
"Illinois","Season onset","Bin","week","9","10",0.00037
"Illinois","Season onset","Bin","week","10","11",0.00037
"Illinois","Season onset","Bin","week","11","12",0.00037
"Illinois","Season onset","Bin","week","12","13",0.00037
"Illinois","Season onset","Bin","week","13","14",0.00037
"Illinois","Season onset","Bin","week","14","15",0.00037
"Illinois","Season onset","Bin","week","15","16",0.00037
"Illinois","Season onset","Bin","week","16","17",0.00037
"Illinois","Season onset","Bin","week","17","18",0.00037
"Illinois","Season onset","Bin","week","18","19",0.00037
"Illinois","Season onset","Bin","week","19","20",0.00037
"Illinois","Season onset","Bin","week","20","21",0.00037
"Illinois","Season onset","Bin","week","none","none",0.00037
"Illinois","Season peak week","Point","week",NA,NA,4
"Illinois","Season peak week","Bin","week",40,41,0.00036
"Illinois","Season peak week","Bin","week",41,42,0.00036
"Illinois","Season peak week","Bin","week",42,43,0.00036
"Illinois","Season peak week","Bin","week",43,44,0.00036
"Illinois","Season peak week","Bin","week",44,45,0.00036
"Illinois","Season peak week","Bin","week",45,46,0.00036
"Illinois","Season peak week","Bin","week",46,47,0.00036
"Illinois","Season peak week","Bin","week",47,48,0.00036
"Illinois","Season peak week","Bin","week",48,49,0.00036
"Illinois","Season peak week","Bin","week",49,50,0.00036
"Illinois","Season peak week","Bin","week",50,51,0.081
"Illinois","Season peak week","Bin","week",51,52,0.041
"Illinois","Season peak week","Bin","week",52,53,0.17
"Illinois","Season peak week","Bin","week",1,2,0.00036
"Illinois","Season peak week","Bin","week",2,3,0.076
"Illinois","Season peak week","Bin","week",3,4,0.00036
"Illinois","Season peak week","Bin","week",4,5,0.00036
"Illinois","Season peak week","Bin","week",5,6,0.048
"Illinois","Season peak week","Bin","week",6,7,0.073
"Illinois","Season peak week","Bin","week",7,8,0.00036
"Illinois","Season peak week","Bin","week",8,9,0.15
"Illinois","Season peak week","Bin","week",9,10,0.16
"Illinois","Season peak week","Bin","week",10,11,0.08
"Illinois","Season peak week","Bin","week",11,12,0.064
"Illinois","Season peak week","Bin","week",12,13,0.057
"Illinois","Season peak week","Bin","week",13,14,0.00036
"Illinois","Season peak week","Bin","week",14,15,0.00036
"Illinois","Season peak week","Bin","week",15,16,0.00036
"Illinois","Season peak week","Bin","week",16,17,0.00036
"Illinois","Season peak week","Bin","week",17,18,0.00036
"Illinois","Season peak week","Bin","week",18,19,0.00036
"Illinois","Season peak week","Bin","week",19,20,0.00036
"Illinois","Season peak week","Bin","week",20,21,0.00036
"Illinois","Season peak percentage","Point","percent",NA,NA,4.9
"Illinois","Season peak percentage","Bin","percent",0,0.1,0.00041
"Illinois","Season peak percentage","Bin","percent",0.1,0.2,0.00041
"Illinois","Season peak percentage","Bin","percent",0.2,0.3,0.00041
"Illinois","Season peak percentage","Bin","percent",0.3,0.4,0.00041
"Illinois","Season peak percentage","Bin","percent",0.4,0.5,0.00041
"Illinois","Season peak percentage","Bin","percent",0.5,0.6,0.00041
"Illinois","Season peak percentage","Bin","percent",0.6,0.7,0.00041
"Illinois","Season peak percentage","Bin","percent",0.7,0.8,0.00041
"Illinois","Season peak percentage","Bin","percent",0.8,0.9,0.00041
"Illinois","Season peak percentage","Bin","percent",0.9,1,0.00041
"Illinois","Season peak percentage","Bin","percent",1,1.1,0.00041
"Illinois","Season peak percentage","Bin","percent",1.1,1.2,0.00041
"Illinois","Season peak percentage","Bin","percent",1.2,1.3,0.00041
"Illinois","Season peak percentage","Bin","percent",1.3,1.4,0.00041
"Illinois","Season peak percentage","Bin","percent",1.4,1.5,0.00041
"Illinois","Season peak percentage","Bin","percent",1.5,1.6,0.00041
"Illinois","Season peak percentage","Bin","percent",1.6,1.7,0.00041
"Illinois","Season peak percentage","Bin","percent",1.7,1.8,0.00041
"Illinois","Season peak percentage","Bin","percent",1.8,1.9,0.00041
"Illinois","Season peak percentage","Bin","percent",1.9,2,0.00041
"Illinois","Season peak percentage","Bin","percent",2,2.1,0.00041
"Illinois","Season peak percentage","Bin","percent",2.1,2.2,0.00041
"Illinois","Season peak percentage","Bin","percent",2.2,2.3,0.00041
"Illinois","Season peak percentage","Bin","percent",2.3,2.4,0.00041
"Illinois","Season peak percentage","Bin","percent",2.4,2.5,0.00041
"Illinois","Season peak percentage","Bin","percent",2.5,2.6,0.00041
"Illinois","Season peak percentage","Bin","percent",2.6,2.7,0.00041
"Illinois","Season peak percentage","Bin","percent",2.7,2.8,0.00041
"Illinois","Season peak percentage","Bin","percent",2.8,2.9,0.00041
"Illinois","Season peak percentage","Bin","percent",2.9,3,0.00041
"Illinois","Season peak percentage","Bin","percent",3,3.1,0.00041
"Illinois","Season peak percentage","Bin","percent",3.1,3.2,0.00041
"Illinois","Season peak percentage","Bin","percent",3.2,3.3,0.00041
"Illinois","Season peak percentage","Bin","percent",3.3,3.4,0.00041
"Illinois","Season peak percentage","Bin","percent",3.4,3.5,0.00041
"Illinois","Season peak percentage","Bin","percent",3.5,3.6,0.00041
"Illinois","Season peak percentage","Bin","percent",3.6,3.7,0.00041
"Illinois","Season peak percentage","Bin","percent",3.7,3.8,0.00041
"Illinois","Season peak percentage","Bin","percent",3.8,3.9,0.15
"Illinois","Season peak percentage","Bin","percent",3.9,4,0.04
"Illinois","Season peak percentage","Bin","percent",4,4.1,0.00041
"Illinois","Season peak percentage","Bin","percent",4.1,4.2,0.064
"Illinois","Season peak percentage","Bin","percent",4.2,4.3,0.00041
"Illinois","Season peak percentage","Bin","percent",4.3,4.4,0.00041
