"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"Puerto Rico","1 wk ahead","Bin","percent",9,9.1,0.028
"Puerto Rico","1 wk ahead","Bin","percent",9.1,9.2,0.025
"Puerto Rico","1 wk ahead","Bin","percent",9.2,9.3,0.022
"Puerto Rico","1 wk ahead","Bin","percent",9.3,9.4,0.019
"Puerto Rico","1 wk ahead","Bin","percent",9.4,9.5,0.016
"Puerto Rico","1 wk ahead","Bin","percent",9.5,9.6,0.014
"Puerto Rico","1 wk ahead","Bin","percent",9.6,9.7,0.011
"Puerto Rico","1 wk ahead","Bin","percent",9.7,9.8,0.0095
"Puerto Rico","1 wk ahead","Bin","percent",9.8,9.9,0.0077
"Puerto Rico","1 wk ahead","Bin","percent",9.9,10,0.0062
"Puerto Rico","1 wk ahead","Bin","percent",10,10.1,0.0049
"Puerto Rico","1 wk ahead","Bin","percent",10.1,10.2,0.0039
"Puerto Rico","1 wk ahead","Bin","percent",10.2,10.3,0.003
"Puerto Rico","1 wk ahead","Bin","percent",10.3,10.4,0.0023
"Puerto Rico","1 wk ahead","Bin","percent",10.4,10.5,0.0017
"Puerto Rico","1 wk ahead","Bin","percent",10.5,10.6,0.0013
"Puerto Rico","1 wk ahead","Bin","percent",10.6,10.7,0.00095
"Puerto Rico","1 wk ahead","Bin","percent",10.7,10.8,0.00069
"Puerto Rico","1 wk ahead","Bin","percent",10.8,10.9,0.00049
"Puerto Rico","1 wk ahead","Bin","percent",10.9,11,0.00035
"Puerto Rico","1 wk ahead","Bin","percent",11,11.1,0.00025
"Puerto Rico","1 wk ahead","Bin","percent",11.1,11.2,0.00017
"Puerto Rico","1 wk ahead","Bin","percent",11.2,11.3,0.00012
"Puerto Rico","1 wk ahead","Bin","percent",11.3,11.4,7.8e-05
"Puerto Rico","1 wk ahead","Bin","percent",11.4,11.5,5.2e-05
"Puerto Rico","1 wk ahead","Bin","percent",11.5,11.6,3.4e-05
"Puerto Rico","1 wk ahead","Bin","percent",11.6,11.7,2.2e-05
"Puerto Rico","1 wk ahead","Bin","percent",11.7,11.8,1.4e-05
"Puerto Rico","1 wk ahead","Bin","percent",11.8,11.9,8.9e-06
"Puerto Rico","1 wk ahead","Bin","percent",11.9,12,5.6e-06
"Puerto Rico","1 wk ahead","Bin","percent",12,12.1,3.4e-06
"Puerto Rico","1 wk ahead","Bin","percent",12.1,12.2,2.1e-06
"Puerto Rico","1 wk ahead","Bin","percent",12.2,12.3,1.3e-06
"Puerto Rico","1 wk ahead","Bin","percent",12.3,12.4,7.4e-07
"Puerto Rico","1 wk ahead","Bin","percent",12.4,12.5,4.4e-07
"Puerto Rico","1 wk ahead","Bin","percent",12.5,12.6,2.5e-07
"Puerto Rico","1 wk ahead","Bin","percent",12.6,12.7,1.4e-07
"Puerto Rico","1 wk ahead","Bin","percent",12.7,12.8,8.1e-08
"Puerto Rico","1 wk ahead","Bin","percent",12.8,12.9,4.5e-08
"Puerto Rico","1 wk ahead","Bin","percent",12.9,13,2.5e-08
"Puerto Rico","1 wk ahead","Bin","percent",13,100,1.3e-08
"Puerto Rico","2 wk ahead","Point","percent",NA,NA,8.1
"Puerto Rico","2 wk ahead","Bin","percent",0,0.1,1.2e-19
"Puerto Rico","2 wk ahead","Bin","percent",0.1,0.2,3.2e-19
"Puerto Rico","2 wk ahead","Bin","percent",0.2,0.3,8.4e-19
"Puerto Rico","2 wk ahead","Bin","percent",0.3,0.4,2.2e-18
"Puerto Rico","2 wk ahead","Bin","percent",0.4,0.5,5.7e-18
"Puerto Rico","2 wk ahead","Bin","percent",0.5,0.6,1.5e-17
"Puerto Rico","2 wk ahead","Bin","percent",0.6,0.7,3.7e-17
"Puerto Rico","2 wk ahead","Bin","percent",0.7,0.8,9.3e-17
"Puerto Rico","2 wk ahead","Bin","percent",0.8,0.9,2.3e-16
"Puerto Rico","2 wk ahead","Bin","percent",0.9,1,5.6e-16
"Puerto Rico","2 wk ahead","Bin","percent",1,1.1,1.4e-15
"Puerto Rico","2 wk ahead","Bin","percent",1.1,1.2,3.2e-15
"Puerto Rico","2 wk ahead","Bin","percent",1.2,1.3,7.6e-15
"Puerto Rico","2 wk ahead","Bin","percent",1.3,1.4,1.8e-14
"Puerto Rico","2 wk ahead","Bin","percent",1.4,1.5,4.1e-14
"Puerto Rico","2 wk ahead","Bin","percent",1.5,1.6,9.2e-14
"Puerto Rico","2 wk ahead","Bin","percent",1.6,1.7,2.1e-13
"Puerto Rico","2 wk ahead","Bin","percent",1.7,1.8,4.6e-13
"Puerto Rico","2 wk ahead","Bin","percent",1.8,1.9,1e-12
"Puerto Rico","2 wk ahead","Bin","percent",1.9,2,2.2e-12
"Puerto Rico","2 wk ahead","Bin","percent",2,2.1,4.6e-12
"Puerto Rico","2 wk ahead","Bin","percent",2.1,2.2,9.7e-12
"Puerto Rico","2 wk ahead","Bin","percent",2.2,2.3,2e-11
"Puerto Rico","2 wk ahead","Bin","percent",2.3,2.4,4.2e-11
"Puerto Rico","2 wk ahead","Bin","percent",2.4,2.5,8.4e-11
"Puerto Rico","2 wk ahead","Bin","percent",2.5,2.6,1.7e-10
"Puerto Rico","2 wk ahead","Bin","percent",2.6,2.7,3.4e-10
"Puerto Rico","2 wk ahead","Bin","percent",2.7,2.8,6.6e-10
"Puerto Rico","2 wk ahead","Bin","percent",2.8,2.9,1.3e-09
"Puerto Rico","2 wk ahead","Bin","percent",2.9,3,2.4e-09
"Puerto Rico","2 wk ahead","Bin","percent",3,3.1,4.6e-09
"Puerto Rico","2 wk ahead","Bin","percent",3.1,3.2,8.5e-09
"Puerto Rico","2 wk ahead","Bin","percent",3.2,3.3,1.6e-08
"Puerto Rico","2 wk ahead","Bin","percent",3.3,3.4,2.9e-08
"Puerto Rico","2 wk ahead","Bin","percent",3.4,3.5,5.1e-08
"Puerto Rico","2 wk ahead","Bin","percent",3.5,3.6,9.1e-08
"Puerto Rico","2 wk ahead","Bin","percent",3.6,3.7,1.6e-07
"Puerto Rico","2 wk ahead","Bin","percent",3.7,3.8,2.8e-07
"Puerto Rico","2 wk ahead","Bin","percent",3.8,3.9,4.7e-07
"Puerto Rico","2 wk ahead","Bin","percent",3.9,4,8e-07
"Puerto Rico","2 wk ahead","Bin","percent",4,4.1,1.3e-06
"Puerto Rico","2 wk ahead","Bin","percent",4.1,4.2,2.2e-06
"Puerto Rico","2 wk ahead","Bin","percent",4.2,4.3,3.6e-06
"Puerto Rico","2 wk ahead","Bin","percent",4.3,4.4,5.8e-06
"Puerto Rico","2 wk ahead","Bin","percent",4.4,4.5,9.1e-06
"Puerto Rico","2 wk ahead","Bin","percent",4.5,4.6,1.4e-05
"Puerto Rico","2 wk ahead","Bin","percent",4.6,4.7,2.2e-05
"Puerto Rico","2 wk ahead","Bin","percent",4.7,4.8,3.4e-05
"Puerto Rico","2 wk ahead","Bin","percent",4.8,4.9,5.1e-05
"Puerto Rico","2 wk ahead","Bin","percent",4.9,5,7.7e-05
"Puerto Rico","2 wk ahead","Bin","percent",5,5.1,0.00011
"Puerto Rico","2 wk ahead","Bin","percent",5.1,5.2,0.00017
"Puerto Rico","2 wk ahead","Bin","percent",5.2,5.3,0.00024
"Puerto Rico","2 wk ahead","Bin","percent",5.3,5.4,0.00034
"Puerto Rico","2 wk ahead","Bin","percent",5.4,5.5,0.00048
"Puerto Rico","2 wk ahead","Bin","percent",5.5,5.6,0.00066
"Puerto Rico","2 wk ahead","Bin","percent",5.6,5.7,9e-04
"Puerto Rico","2 wk ahead","Bin","percent",5.7,5.8,0.0012
"Puerto Rico","2 wk ahead","Bin","percent",5.8,5.9,0.0016
"Puerto Rico","2 wk ahead","Bin","percent",5.9,6,0.0022
"Puerto Rico","2 wk ahead","Bin","percent",6,6.1,0.0028
"Puerto Rico","2 wk ahead","Bin","percent",6.1,6.2,0.0036
"Puerto Rico","2 wk ahead","Bin","percent",6.2,6.3,0.0046
"Puerto Rico","2 wk ahead","Bin","percent",6.3,6.4,0.0058
"Puerto Rico","2 wk ahead","Bin","percent",6.4,6.5,0.0072
"Puerto Rico","2 wk ahead","Bin","percent",6.5,6.6,0.0089
"Puerto Rico","2 wk ahead","Bin","percent",6.6,6.7,0.011
"Puerto Rico","2 wk ahead","Bin","percent",6.7,6.8,0.013
"Puerto Rico","2 wk ahead","Bin","percent",6.8,6.9,0.015
"Puerto Rico","2 wk ahead","Bin","percent",6.9,7,0.018
"Puerto Rico","2 wk ahead","Bin","percent",7,7.1,0.021
"Puerto Rico","2 wk ahead","Bin","percent",7.1,7.2,0.023
"Puerto Rico","2 wk ahead","Bin","percent",7.2,7.3,0.026
"Puerto Rico","2 wk ahead","Bin","percent",7.3,7.4,0.029
"Puerto Rico","2 wk ahead","Bin","percent",7.4,7.5,0.032
"Puerto Rico","2 wk ahead","Bin","percent",7.5,7.6,0.035
"Puerto Rico","2 wk ahead","Bin","percent",7.6,7.7,0.038
"Puerto Rico","2 wk ahead","Bin","percent",7.7,7.8,0.04
"Puerto Rico","2 wk ahead","Bin","percent",7.8,7.9,0.042
"Puerto Rico","2 wk ahead","Bin","percent",7.9,8,0.043
"Puerto Rico","2 wk ahead","Bin","percent",8,8.1,0.044
"Puerto Rico","2 wk ahead","Bin","percent",8.1,8.2,0.044
"Puerto Rico","2 wk ahead","Bin","percent",8.2,8.3,0.044
"Puerto Rico","2 wk ahead","Bin","percent",8.3,8.4,0.043
"Puerto Rico","2 wk ahead","Bin","percent",8.4,8.5,0.042
"Puerto Rico","2 wk ahead","Bin","percent",8.5,8.6,0.04
"Puerto Rico","2 wk ahead","Bin","percent",8.6,8.7,0.038
"Puerto Rico","2 wk ahead","Bin","percent",8.7,8.8,0.036
"Puerto Rico","2 wk ahead","Bin","percent",8.8,8.9,0.033
"Puerto Rico","2 wk ahead","Bin","percent",8.9,9,0.03
"Puerto Rico","2 wk ahead","Bin","percent",9,9.1,0.027
"Puerto Rico","2 wk ahead","Bin","percent",9.1,9.2,0.024
"Puerto Rico","2 wk ahead","Bin","percent",9.2,9.3,0.021
"Puerto Rico","2 wk ahead","Bin","percent",9.3,9.4,0.019
"Puerto Rico","2 wk ahead","Bin","percent",9.4,9.5,0.016
"Puerto Rico","2 wk ahead","Bin","percent",9.5,9.6,0.014
"Puerto Rico","2 wk ahead","Bin","percent",9.6,9.7,0.011
"Puerto Rico","2 wk ahead","Bin","percent",9.7,9.8,0.0095
"Puerto Rico","2 wk ahead","Bin","percent",9.8,9.9,0.0077
"Puerto Rico","2 wk ahead","Bin","percent",9.9,10,0.0063
"Puerto Rico","2 wk ahead","Bin","percent",10,10.1,0.005
"Puerto Rico","2 wk ahead","Bin","percent",10.1,10.2,0.0039
"Puerto Rico","2 wk ahead","Bin","percent",10.2,10.3,0.0031
"Puerto Rico","2 wk ahead","Bin","percent",10.3,10.4,0.0024
"Puerto Rico","2 wk ahead","Bin","percent",10.4,10.5,0.0018
"Puerto Rico","2 wk ahead","Bin","percent",10.5,10.6,0.0013
"Puerto Rico","2 wk ahead","Bin","percent",10.6,10.7,0.001
"Puerto Rico","2 wk ahead","Bin","percent",10.7,10.8,0.00073
"Puerto Rico","2 wk ahead","Bin","percent",10.8,10.9,0.00053
"Puerto Rico","2 wk ahead","Bin","percent",10.9,11,0.00038
"Puerto Rico","2 wk ahead","Bin","percent",11,11.1,0.00027
"Puerto Rico","2 wk ahead","Bin","percent",11.1,11.2,0.00019
"Puerto Rico","2 wk ahead","Bin","percent",11.2,11.3,0.00013
"Puerto Rico","2 wk ahead","Bin","percent",11.3,11.4,8.7e-05
"Puerto Rico","2 wk ahead","Bin","percent",11.4,11.5,5.9e-05
"Puerto Rico","2 wk ahead","Bin","percent",11.5,11.6,3.9e-05
"Puerto Rico","2 wk ahead","Bin","percent",11.6,11.7,2.5e-05
"Puerto Rico","2 wk ahead","Bin","percent",11.7,11.8,1.7e-05
"Puerto Rico","2 wk ahead","Bin","percent",11.8,11.9,1.1e-05
"Puerto Rico","2 wk ahead","Bin","percent",11.9,12,6.7e-06
"Puerto Rico","2 wk ahead","Bin","percent",12,12.1,4.2e-06
"Puerto Rico","2 wk ahead","Bin","percent",12.1,12.2,2.6e-06
"Puerto Rico","2 wk ahead","Bin","percent",12.2,12.3,1.6e-06
"Puerto Rico","2 wk ahead","Bin","percent",12.3,12.4,9.4e-07
"Puerto Rico","2 wk ahead","Bin","percent",12.4,12.5,5.6e-07
"Puerto Rico","2 wk ahead","Bin","percent",12.5,12.6,3.3e-07
"Puerto Rico","2 wk ahead","Bin","percent",12.6,12.7,1.9e-07
"Puerto Rico","2 wk ahead","Bin","percent",12.7,12.8,1.1e-07
"Puerto Rico","2 wk ahead","Bin","percent",12.8,12.9,6.2e-08
"Puerto Rico","2 wk ahead","Bin","percent",12.9,13,3.5e-08
"Puerto Rico","2 wk ahead","Bin","percent",13,100,1.9e-08
"Puerto Rico","3 wk ahead","Point","percent",NA,NA,8.1
"Puerto Rico","3 wk ahead","Bin","percent",0,0.1,4.6e-19
"Puerto Rico","3 wk ahead","Bin","percent",0.1,0.2,1.2e-18
"Puerto Rico","3 wk ahead","Bin","percent",0.2,0.3,3.1e-18
"Puerto Rico","3 wk ahead","Bin","percent",0.3,0.4,7.8e-18
"Puerto Rico","3 wk ahead","Bin","percent",0.4,0.5,2e-17
"Puerto Rico","3 wk ahead","Bin","percent",0.5,0.6,4.9e-17
"Puerto Rico","3 wk ahead","Bin","percent",0.6,0.7,1.2e-16
"Puerto Rico","3 wk ahead","Bin","percent",0.7,0.8,2.9e-16
"Puerto Rico","3 wk ahead","Bin","percent",0.8,0.9,7e-16
"Puerto Rico","3 wk ahead","Bin","percent",0.9,1,1.7e-15
"Puerto Rico","3 wk ahead","Bin","percent",1,1.1,3.9e-15
"Puerto Rico","3 wk ahead","Bin","percent",1.1,1.2,9.1e-15
"Puerto Rico","3 wk ahead","Bin","percent",1.2,1.3,2.1e-14
"Puerto Rico","3 wk ahead","Bin","percent",1.3,1.4,4.7e-14
"Puerto Rico","3 wk ahead","Bin","percent",1.4,1.5,1.1e-13
"Puerto Rico","3 wk ahead","Bin","percent",1.5,1.6,2.3e-13
"Puerto Rico","3 wk ahead","Bin","percent",1.6,1.7,5.1e-13
"Puerto Rico","3 wk ahead","Bin","percent",1.7,1.8,1.1e-12
"Puerto Rico","3 wk ahead","Bin","percent",1.8,1.9,2.3e-12
"Puerto Rico","3 wk ahead","Bin","percent",1.9,2,4.9e-12
"Puerto Rico","3 wk ahead","Bin","percent",2,2.1,1e-11
"Puerto Rico","3 wk ahead","Bin","percent",2.1,2.2,2.1e-11
"Puerto Rico","3 wk ahead","Bin","percent",2.2,2.3,4.3e-11
"Puerto Rico","3 wk ahead","Bin","percent",2.3,2.4,8.6e-11
"Puerto Rico","3 wk ahead","Bin","percent",2.4,2.5,1.7e-10
"Puerto Rico","3 wk ahead","Bin","percent",2.5,2.6,3.3e-10
"Puerto Rico","3 wk ahead","Bin","percent",2.6,2.7,6.5e-10
"Puerto Rico","3 wk ahead","Bin","percent",2.7,2.8,1.2e-09
"Puerto Rico","3 wk ahead","Bin","percent",2.8,2.9,2.3e-09
"Puerto Rico","3 wk ahead","Bin","percent",2.9,3,4.4e-09
"Puerto Rico","3 wk ahead","Bin","percent",3,3.1,8.1e-09
"Puerto Rico","3 wk ahead","Bin","percent",3.1,3.2,1.5e-08
"Puerto Rico","3 wk ahead","Bin","percent",3.2,3.3,2.7e-08
"Puerto Rico","3 wk ahead","Bin","percent",3.3,3.4,4.8e-08
"Puerto Rico","3 wk ahead","Bin","percent",3.4,3.5,8.4e-08
"Puerto Rico","3 wk ahead","Bin","percent",3.5,3.6,1.5e-07
"Puerto Rico","3 wk ahead","Bin","percent",3.6,3.7,2.5e-07
"Puerto Rico","3 wk ahead","Bin","percent",3.7,3.8,4.3e-07
"Puerto Rico","3 wk ahead","Bin","percent",3.8,3.9,7.2e-07
"Puerto Rico","3 wk ahead","Bin","percent",3.9,4,1.2e-06
"Puerto Rico","3 wk ahead","Bin","percent",4,4.1,1.9e-06
"Puerto Rico","3 wk ahead","Bin","percent",4.1,4.2,3.2e-06
"Puerto Rico","3 wk ahead","Bin","percent",4.2,4.3,5.1e-06
"Puerto Rico","3 wk ahead","Bin","percent",4.3,4.4,8e-06
"Puerto Rico","3 wk ahead","Bin","percent",4.4,4.5,1.3e-05
"Puerto Rico","3 wk ahead","Bin","percent",4.5,4.6,1.9e-05
"Puerto Rico","3 wk ahead","Bin","percent",4.6,4.7,2.9e-05
"Puerto Rico","3 wk ahead","Bin","percent",4.7,4.8,4.4e-05
"Puerto Rico","3 wk ahead","Bin","percent",4.8,4.9,6.6e-05
"Puerto Rico","3 wk ahead","Bin","percent",4.9,5,9.8e-05
"Puerto Rico","3 wk ahead","Bin","percent",5,5.1,0.00014
"Puerto Rico","3 wk ahead","Bin","percent",5.1,5.2,2e-04
"Puerto Rico","3 wk ahead","Bin","percent",5.2,5.3,0.00029
"Puerto Rico","3 wk ahead","Bin","percent",5.3,5.4,0.00041
"Puerto Rico","3 wk ahead","Bin","percent",5.4,5.5,0.00057
"Puerto Rico","3 wk ahead","Bin","percent",5.5,5.6,0.00078
"Puerto Rico","3 wk ahead","Bin","percent",5.6,5.7,0.0011
"Puerto Rico","3 wk ahead","Bin","percent",5.7,5.8,0.0014
"Puerto Rico","3 wk ahead","Bin","percent",5.8,5.9,0.0019
"Puerto Rico","3 wk ahead","Bin","percent",5.9,6,0.0024
"Puerto Rico","3 wk ahead","Bin","percent",6,6.1,0.0032
"Puerto Rico","3 wk ahead","Bin","percent",6.1,6.2,0.004
"Puerto Rico","3 wk ahead","Bin","percent",6.2,6.3,0.0051
"Puerto Rico","3 wk ahead","Bin","percent",6.3,6.4,0.0063
"Puerto Rico","3 wk ahead","Bin","percent",6.4,6.5,0.0078
"Puerto Rico","3 wk ahead","Bin","percent",6.5,6.6,0.0095
"Puerto Rico","3 wk ahead","Bin","percent",6.6,6.7,0.011
"Puerto Rico","3 wk ahead","Bin","percent",6.7,6.8,0.014
"Puerto Rico","3 wk ahead","Bin","percent",6.8,6.9,0.016
"Puerto Rico","3 wk ahead","Bin","percent",6.9,7,0.018
"Puerto Rico","3 wk ahead","Bin","percent",7,7.1,0.021
"Puerto Rico","3 wk ahead","Bin","percent",7.1,7.2,0.024
"Puerto Rico","3 wk ahead","Bin","percent",7.2,7.3,0.027
"Puerto Rico","3 wk ahead","Bin","percent",7.3,7.4,0.03
"Puerto Rico","3 wk ahead","Bin","percent",7.4,7.5,0.033
"Puerto Rico","3 wk ahead","Bin","percent",7.5,7.6,0.035
"Puerto Rico","3 wk ahead","Bin","percent",7.6,7.7,0.038
"Puerto Rico","3 wk ahead","Bin","percent",7.7,7.8,0.04
"Puerto Rico","3 wk ahead","Bin","percent",7.8,7.9,0.041
"Puerto Rico","3 wk ahead","Bin","percent",7.9,8,0.043
"Puerto Rico","3 wk ahead","Bin","percent",8,8.1,0.043
"Puerto Rico","3 wk ahead","Bin","percent",8.1,8.2,0.044
"Puerto Rico","3 wk ahead","Bin","percent",8.2,8.3,0.043
"Puerto Rico","3 wk ahead","Bin","percent",8.3,8.4,0.043
"Puerto Rico","3 wk ahead","Bin","percent",8.4,8.5,0.041
"Puerto Rico","3 wk ahead","Bin","percent",8.5,8.6,0.04
"Puerto Rico","3 wk ahead","Bin","percent",8.6,8.7,0.038
"Puerto Rico","3 wk ahead","Bin","percent",8.7,8.8,0.035
"Puerto Rico","3 wk ahead","Bin","percent",8.8,8.9,0.033
"Puerto Rico","3 wk ahead","Bin","percent",8.9,9,0.03
"Puerto Rico","3 wk ahead","Bin","percent",9,9.1,0.027
"Puerto Rico","3 wk ahead","Bin","percent",9.1,9.2,0.024
"Puerto Rico","3 wk ahead","Bin","percent",9.2,9.3,0.021
"Puerto Rico","3 wk ahead","Bin","percent",9.3,9.4,0.018
"Puerto Rico","3 wk ahead","Bin","percent",9.4,9.5,0.016
"Puerto Rico","3 wk ahead","Bin","percent",9.5,9.6,0.014
"Puerto Rico","3 wk ahead","Bin","percent",9.6,9.7,0.011
"Puerto Rico","3 wk ahead","Bin","percent",9.7,9.8,0.0095
"Puerto Rico","3 wk ahead","Bin","percent",9.8,9.9,0.0078
"Puerto Rico","3 wk ahead","Bin","percent",9.9,10,0.0063
"Puerto Rico","3 wk ahead","Bin","percent",10,10.1,0.0051
"Puerto Rico","3 wk ahead","Bin","percent",10.1,10.2,0.004
"Puerto Rico","3 wk ahead","Bin","percent",10.2,10.3,0.0031
"Puerto Rico","3 wk ahead","Bin","percent",10.3,10.4,0.0024
"Puerto Rico","3 wk ahead","Bin","percent",10.4,10.5,0.0019
"Puerto Rico","3 wk ahead","Bin","percent",10.5,10.6,0.0014
"Puerto Rico","3 wk ahead","Bin","percent",10.6,10.7,0.001
"Puerto Rico","3 wk ahead","Bin","percent",10.7,10.8,0.00077
"Puerto Rico","3 wk ahead","Bin","percent",10.8,10.9,0.00056
